variant,description,confirmed_events,confirmed_rate,confirmed_advance_events,d0_traded_events,avg_rf_probability,median_confirmation_delay_seconds,avg_confirmation_close_extension_atr,avg_pre_confirm_adverse_atr,same_close_calendar_sum_direct,same_close_worst_sm_direct,same_close_neg_sm_direct,same_close_calendar_sum,same_close_worst_sm,same_close_neg_sm,adverse10_calendar_sum,adverse10_worst_sm,adverse10_neg_sm
baseline_touch_entry,current production shape replay: enter at first touch close,736,1.0,561,561,0.5780027173913043,0.0,0.02635360831872319,0.0,-0.3194414620066063,-0.11665488801998829,7,-0.3194414620066063,-0.11665488801998829,7,-1.029829044663411,-0.1817959112387492,10
touch_close_reclaim,touch second must close beyond the breakout level,577,0.7839673913043478,451,451,0.5828162911611785,0.0,0.042076737391473606,0.041975005697560644,-0.37539681593293306,-0.11527991280985991,9,-0.37539681593293306,-0.11527991280985991,9,-0.9393702153070328,-0.16923048538911048,10
touch_close_ext_ge_0p03atr,touch second close extension >= 0.03 ATR,231,0.3138586956521739,151,151,0.5326623376623376,0.0,0.08859871326197266,0.0524941174358685,-0.12159272872150832,-0.05199127547410717,7,-0.12159272872150832,-0.05199127547410717,7,-0.3132833656117825,-0.08054249612215049,10
follow_60s_ext_ge_0p03atr,"within 60s, first close extension >= 0.03 ATR",584,0.7934782608695652,434,434,0.5705993150684932,1.0,0.07106618128272058,0.05200939904604904,-0.3018079305897446,-0.1113629233600816,8,-0.3018079305897446,-0.1113629233600816,8,-0.8496127229887506,-0.16638084569009334,10
follow_180s_ext_ge_0p05atr,"within 180s, first close extension >= 0.05 ATR",581,0.7894021739130435,430,430,0.57039586919105,3.0,0.09016041627536535,0.06033166745078097,-0.25167358844887944,-0.11228589212292515,8,-0.25167358844887944,-0.11228589212292515,8,-0.7912105441310149,-0.16438096015867898,10
follow_300s_ext_ge_0p05atr,"within 300s, first close extension >= 0.05 ATR",609,0.8274456521739131,453,453,0.5711083743842363,4.0,0.08889754607885947,0.06406415010452085,-0.2704071295066674,-0.10702327594025997,8,-0.2704071295066674,-0.10702327594025997,8,-0.836552073263024,-0.16118636503166786,10
follow_300s_ext_ge_0p10atr,"within 300s, first close extension >= 0.10 ATR",501,0.6807065217391305,365,365,0.5668263473053893,15.0,0.13896368705199505,0.07064915941693066,-0.3582251703238038,-0.13700459721201474,9,-0.3582251703238038,-0.13700459721201474,9,-0.8113441578435678,-0.18387187543740777,10
clean_180s_ext_ge_0p05_adv_le_0p05atr,"within 180s, close extension >= 0.05 ATR and adverse before confirmation <= 0.05 ATR",332,0.45108695652173914,271,271,0.5986295180722891,3.0,0.08109681203106606,0.022629686886452373,-0.3300150456673944,-0.0969721928532177,8,-0.3300150456673944,-0.0969721928532177,8,-0.6704528293026406,-0.13115221993728166,9
clean_300s_ext_ge_0p05_adv_le_0p05atr,"within 300s, close extension >= 0.05 ATR and adverse before confirmation <= 0.05 ATR",333,0.452445652173913,272,272,0.5985885885885885,3.0,0.08112187492417623,0.022700139219488557,-0.3249606374847293,-0.09191778467055259,8,-0.3249606374847293,-0.09191778467055259,8,-0.6663280815475532,-0.12749463621427204,9
clean_300s_ext_ge_0p10_adv_le_0p10atr,"within 300s, close extension >= 0.10 ATR and adverse before confirmation <= 0.10 ATR",375,0.5095108695652174,294,294,0.5846933333333333,12.0,0.13357276529427842,0.03905397119607473,-0.3040364317084335,-0.11472576427789533,9,-0.3040364317084335,-0.11472576427789533,9,-0.6697300732342074,-0.1532087937205684,11
