variant,forward_months,events,avg_scale,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months,adverse10_trade_count,adverse10_active_trade_count,trained_months
rf_binary_000,8,38,0.25,0.015818328507502522,-0.003908130339133263,1,-0.00873119095478718,-0.009683845671001888,1,38,11,6
ctx12h_scaled025,8,38,0.25,-0.001852922790375299,-0.0031362685523536596,4,-0.014867359128215641,-0.005054990689738709,6,38,38,6
ctx4h_scaled025,8,38,0.25,-0.001852922790375299,-0.0031362685523536596,4,-0.014867359128215641,-0.005054990689738709,6,38,38,6
rf_binary_025,8,38,0.4375,0.010010823590251593,-0.003908130339133263,4,-0.021415752344306024,-0.009683845671001888,6,38,38,6
rf_replace_p2,8,38,0.6029855568445663,-0.002964371808399832,-0.009247087281997657,4,-0.034630716348946336,-0.01298692988402911,7,38,38,6
rf_prob_cap1,8,38,0.6029855568445663,-0.0009588161133192372,-0.009574322146491905,4,-0.038414602090469055,-0.014357964565256518,7,38,38,6
rf_prob_floor025,8,38,0.7022391676334248,-0.0025720348753647277,-0.009540116268975912,4,-0.043678310696067424,-0.01532107674705868,6,38,38,6
rf_rank_median_000,8,38,0.8318452380952381,-0.0038608505663641785,-0.013574287399978742,3,-0.04570477002642395,-0.018414809150766116,7,38,30,6
rf_rank_q60_000,8,38,0.8318452380952381,-0.0038608505663641785,-0.013574287399978742,3,-0.04570477002642395,-0.018414809150766116,7,38,30,6
rf_rank_q70_000,8,38,0.6964285714285714,-0.008387401520466096,-0.013574287399978742,4,-0.04855117295934863,-0.018414809150766116,7,38,26,6
rf_rank_median_025,8,38,0.8738839285714286,-0.004748560715148432,-0.01254009020909104,4,-0.0491459366480336,-0.018363710186190877,6,38,38,6
baseline_original,8,38,1.0,-0.007411691161501196,-0.012545074209414638,4,-0.059469436512862565,-0.020219962758954838,6,38,38,6
