variant,forward_months,events,avg_scale,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months,adverse10_trade_count,adverse10_active_trade_count,trained_months
rf_rank_q70_000,3,149,0.22673052271756164,0.014720723063746872,-0.014612612717364007,2,-0.03112924146388625,-0.018657795783210508,3,149,37,3
rf_binary_000,3,149,0.07311399135925557,-0.03532046470199252,-0.02043342990064757,2,-0.04553634112047061,-0.026200326436684022,2,149,10,3
rf_binary_025,3,149,0.30483549351944167,-0.0770681190765454,-0.037645733032992394,3,-0.13178321755688704,-0.059873277755379185,3,149,149,3
ctx12h_scaled025,3,149,0.549067084460903,-0.05837290005470122,-0.0454546468157693,2,-0.16370389443702726,-0.0824502298165429,3,149,149,3
rf_rank_q60_000,3,149,0.4767720647581067,-0.0897824961348768,-0.03632728562388333,3,-0.1804580781805066,-0.06809174628540884,3,149,75,3
rf_replace_p2,3,149,0.660766186405358,-0.10355140524497285,-0.04904222581595802,3,-0.1944173467879761,-0.09037432535854609,3,149,149,3
rf_rank_median_000,3,149,0.770153824241561,-0.08764192040381885,-0.05055904392569382,3,-0.22816935878747696,-0.08473929317592777,3,149,114,3
rf_prob_cap1,3,149,0.6499374616540273,-0.12182289860803602,-0.059986948322848496,3,-0.23620284138175773,-0.10871908439343374,3,149,149,3
ctx4h_scaled025,3,149,0.5430271684945165,-0.1494798873682559,-0.07423605597892971,3,-0.2523962481131297,-0.10982329661505598,3,149,149,3
rf_rank_median_025,3,149,0.8276153681811708,-0.11630921085291515,-0.060003746487833624,3,-0.2687579808071418,-0.09427941231749842,3,149,149,3
rf_prob_floor025,3,149,0.7374530962405204,-0.14194494450607803,-0.06707467478569963,3,-0.27478309275285234,-0.12176234622294148,3,149,149,3
baseline_original,3,149,1.0,-0.20231108220020402,-0.08928264243002687,3,-0.39052384686613634,-0.16089213171146466,3,149,149,3
