variant,forward_months,events,avg_scale,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months,adverse10_trade_count,adverse10_active_trade_count,trained_months
ctx12h_scaled025,3,17,0.4166666666666667,0.00037961304516444857,-0.003544051270393688,1,-0.00941533473570604,-0.004335284815912477,3,17,17,2
rf_replace_p2,3,17,0.8449179894179893,-0.013800198028730767,-0.0089935671685724,2,-0.028567855509134533,-0.02071161239343515,2,17,17,2
ctx4h_scaled025,3,17,0.4791666666666667,-0.016980023547734816,-0.014151869091009009,2,-0.030562262492283776,-0.025482212572490212,3,17,17,2
rf_rank_q60_000,3,17,0.611111111111111,-0.024993421211202495,-0.02055865863196335,2,-0.04192426682850107,-0.03543105414939438,2,17,14,2
rf_binary_000,3,17,0.5,-0.02815043853695796,-0.02055865863196335,2,-0.04424128415425646,-0.03543105414939438,2,17,13,2
rf_rank_q70_000,3,17,0.5,-0.02815043853695796,-0.02055865863196335,2,-0.04424128415425646,-0.03543105414939438,2,17,13,2
rf_binary_025,3,17,0.625,-0.02726362737018106,-0.02055865863196335,2,-0.044542656900941086,-0.03543105414939438,2,17,17,2
baseline_original,3,17,1.0,-0.024603193869850357,-0.02055865863196335,2,-0.045446775140994974,-0.03543105414939438,2,17,17,2
rf_rank_median_000,3,17,1.0,-0.024603193869850357,-0.02055865863196335,2,-0.045446775140994974,-0.03543105414939438,2,17,17,2
rf_rank_median_025,3,17,1.0,-0.024603193869850357,-0.02055865863196335,2,-0.045446775140994974,-0.03543105414939438,2,17,17,2
rf_prob_floor025,3,17,0.8794563492063491,-0.027487276519418555,-0.02055865863196335,2,-0.047135526302865736,-0.03543105414939438,2,17,17,2
rf_prob_cap1,3,17,0.8392751322751323,-0.028448637402607953,-0.02055865863196335,2,-0.04769844335682266,-0.03543105414939438,2,17,17,2
