variant,forward_months,events,avg_scale,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months,adverse10_trade_count,adverse10_active_trade_count,trained_months
rf_binary_000,8,395,0.15506467585772454,0.1565035428046341,-0.02827886014914378,1,0.07950023288313839,-0.04227545390596756,3,395,60,8
rf_rank_q70_000,8,395,0.2601188620043592,0.14802306374435054,-0.026200014050828523,3,0.020325240451008926,-0.04458890937037387,4,395,103,8
rf_rank_q60_000,8,395,0.4286627004280199,0.19084423514499924,-0.03253581623907425,1,-0.020238493272853972,-0.061855622099270396,4,395,170,8
rf_binary_025,8,395,0.36629850689329346,0.11397001285918698,-0.03757378191621104,3,-0.07311112922155368,-0.06329005961925926,4,395,395,8
rf_rank_median_000,8,395,0.5691919101890547,0.09585778891658908,-0.06348165358897724,3,-0.18171280895046732,-0.10164550904390643,6,395,225,8
ctx4h_scaled025,8,395,0.5295636179895663,0.04284700414770469,-0.04311689040257656,4,-0.23501685018042243,-0.06737444426209219,6,395,395,8
ctx12h_scaled025,8,395,0.5442735319763798,0.03185287612626132,-0.06610118268845709,4,-0.25054276283738575,-0.09639635139129973,6,395,395,8
rf_replace_p2,8,395,0.8045665230776382,0.049919744946508006,-0.04693662206810064,4,-0.25923291984653984,-0.08443179945093035,6,395,395,8
rf_rank_median_025,8,395,0.676893932641791,0.06848569744315319,-0.06397587699608615,3,-0.269020910596758,-0.10781760097271341,6,395,395,8
rf_prob_cap1,8,395,0.7864669279904832,0.04958142239725469,-0.055535442869248365,4,-0.35190659610566444,-0.10364414887888454,7,395,395,8
rf_prob_floor025,8,395,0.8398501959928624,0.03377842255365243,-0.06071603253968579,4,-0.39666625096315583,-0.10931658084894699,7,395,395,8
baseline_original,8,395,1.0,-0.013630576977154418,-0.08055893750273539,4,-0.5309452155356299,-0.1372398326607392,7,395,395,8
