variant,forward_months,events,avg_scale,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months,adverse10_trade_count,adverse10_active_trade_count,trained_months
rf_rank_median_000,8,42,0.6370039682539683,0.10608642063089471,-0.0016065873334752255,1,0.07312695644521347,-0.004735625966695509,2,42,28,8
rf_rank_median_025,8,42,0.7277529761904762,0.11007114179493149,-0.00269025215960116,1,0.07305874709456014,-0.006124112306052743,3,42,42,8
baseline_original,8,42,1.0,0.12202530528704181,-0.01076100863840464,1,0.0728541190426001,-0.01284041934192488,2,42,42,8
ctx4h_scaled025,8,42,0.5615327380952381,0.09391685699396238,-0.00269025215960116,1,0.06794132733622021,-0.00321010483548122,2,42,42,8
rf_prob_floor025,8,42,0.7492973254890058,0.10337465634521242,-0.007343325650749943,1,0.06609335005441078,-0.008752406452411144,3,42,42,8
rf_prob_cap1,8,42,0.6657297673186744,0.09715777336460263,-0.006204097988198377,1,0.06383976039168102,-0.0073897354892398966,3,42,42,8
ctx12h_scaled025,8,42,0.4972470238095238,0.08956416271975177,-0.007883830602268903,1,0.06258904498952657,-0.009336018302307259,2,42,42,8
rf_replace_p2,8,42,0.704602368659031,0.08829697641796952,-0.0045937340156880155,2,0.06117853679913872,-0.00717483869094284,3,42,42,8
rf_rank_q60_000,8,42,0.47539682539682543,0.08341935505185172,-0.0016065873334752255,1,0.05788285203407767,-0.004735625966695509,2,42,21,8
rf_binary_025,8,42,0.3722470238095238,0.0772899119308543,-0.002857886211697848,2,0.05767810474837478,-0.0063722147074904666,2,42,42,8
rf_binary_000,8,42,0.16299603174603175,0.06237811414545845,-0.004110047853519476,1,0.052619433316966335,-0.005066429168612474,1,42,8,8
rf_rank_q70_000,8,42,0.2013888888888889,0.015276809273720063,-0.004110047853519476,2,0.010346512333175737,-0.005066429168612474,2,42,5,8
