context_candidate,fail_weight,source_events,overlap_removed_events,context_overlap_removed_events,extra_events,pass_extra_events,fail_extra_events,combo_same_close_calendar_sum,combo_same_close_worst_sm,combo_same_close_neg_sm,combo_same_close_trade_count,combo_adverse10_calendar_sum,combo_adverse10_delta_vs_lead,combo_adverse10_worst_sm,combo_adverse10_neg_sm,combo_adverse10_trade_count
wf3_low_eff_low_atr_ctx4h_up,0.25,42,1,1,41,15,26,0.37434452597655266,0.005010544138712061,0,103,0.2776856389097274,0.04796916191672182,-0.0013786783838082213,1,103
wf3_low_eff_low_atr_ctx12h_up,0.0,42,1,1,14,14,27,0.3591714508465787,0.00031551519999999724,0,76,0.2689116652120092,0.03919518821900361,-0.0015856785323765273,1,76
wf3_low_eff_low_atr_ctx12h_up,0.25,42,1,1,41,14,27,0.369991831702342,-0.0008376777833644598,1,103,0.27233335656303376,0.04261687957002816,-0.001800209069458383,2,103
wf3_low_eff_low_atr_ctx4h_up,0.0,42,1,1,15,15,26,0.3649750432121928,0.0022024010972469654,0,77,0.27604804167426744,0.046331564681261844,-0.0018489359720416628,1,77
wf3_low_eff_low_atr_ctx4h_up,0.5,42,1,1,41,15,26,0.3837140087409125,0.0024076645827705366,0,103,0.27932323614518734,0.04960675915218174,-0.004348976030580295,2,103
wf3_low_eff_low_atr_ctx12h_up,0.5,42,1,1,41,14,27,0.3808122125581053,-0.0016753555667289196,1,103,0.2757550479140583,0.04603857092105271,-0.004348976030580295,2,103
wf3_low_eff_low_atr_ctx4h_up,0.75,42,1,1,41,15,26,0.3930834915052722,-0.0004715232753436512,1,103,0.28096083338064737,0.05124435638764177,-0.00731927367735237,2,103
wf3_low_eff_low_atr_ctx12h_up,0.75,42,1,1,41,14,27,0.39163259341386875,-0.0025130333500933792,1,103,0.2791767392650828,0.0494602622720772,-0.00731927367735237,2,103
wf3_low_eff_low_atr_ctx4h_up,1.0,42,1,1,41,15,26,0.40245297426963206,-0.003350711133457839,1,103,0.2825984306161073,0.05288195362310169,-0.010289571324124445,2,103
wf3_low_eff_low_atr_ctx12h_up,1.0,42,1,1,41,14,27,0.40245297426963206,-0.003350711133457839,1,103,0.2825984306161073,0.05288195362310169,-0.010289571324124445,2,103
