gate,forward_months,forward_events,trade_count,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months
low_eff_low_atr_ctx12h_up,3,5,5,0.008707215350169384,-0.00242269419633874,1,0.0025951453993902714,-0.0034348262291912205,1
low_eff_ctx12h_side_up_q20_q60,3,15,15,0.008466966249485841,-0.016398269901297793,1,-0.015983037165134353,-0.02214184543403058,1
low_eff_low_atr_ctx4h_up,3,8,8,-0.0144389667736963,-0.01201627257735756,2,-0.025600758276046704,-0.022165932046855484,2
low_eff_high_speed_q20_q60,3,13,13,-0.011837414449782858,-0.011837414449782858,1,-0.028700187493631353,-0.028700187493631353,1
low_atr_side_gap_q40_q60,3,21,21,-0.011530094986085183,-0.00705466978036846,2,-0.03764039537315003,-0.015706507958640856,3
high_speed_q80,3,47,47,0.022302914045820743,-0.0022662190702845723,1,-0.03825918132502509,-0.03623064535579139,2
low_eff_low_atr_q20_q40,3,17,17,-0.024603193869850357,-0.02055865863196335,2,-0.045446775140994974,-0.03543105414939438,2
low_eff_low_atr_q30_q50,3,26,26,-0.021295215776848307,-0.014176205081574751,3,-0.05140877401670375,-0.021847181523568585,3
low_eff_side_slope_q20_q60,3,15,15,-0.02959105623355018,-0.020044144888242486,3,-0.052629222961870746,-0.02525730185831289,3
level_far_q60,3,58,58,0.004087128462970319,-0.02218785300594675,1,-0.07134002913741812,-0.036546998316743996,3
low_atr_q40,3,62,62,-0.011992979094119307,-0.010622404807780816,2,-0.08197969375096077,-0.04409295799707856,3
wick_touch_ext_le_0,3,30,30,-0.05200123854863606,-0.05113299305900983,2,-0.0831824772936515,-0.06447271735016569,2
low_eff_ctx4h_side_up_q20_q60,3,17,17,-0.0563185574151515,-0.022466839084581226,3,-0.08323786001268954,-0.03754942014311575,3
ctx12h_side_up_q60,3,59,59,-0.010393506006200297,-0.030845314944350114,1,-0.08809724362732425,-0.05630292918490232,3
low_eff_q20,3,36,36,-0.05072357800784517,-0.03420247217904703,3,-0.09958044096047554,-0.0408480421171649,3
low_rf_q40,3,63,63,-0.04142952959826411,-0.02063498348805983,3,-0.10788478026458234,-0.043006380302200824,3
low_eff_q30,3,45,45,-0.06148123787649116,-0.0339478177790469,3,-0.11964246840094307,-0.042216097550424866,3
high_speed_q60,3,70,70,-0.036796301058947635,-0.025633096282761444,2,-0.12271061902849954,-0.06939868681249982,3
high_rf_q60,3,57,57,-0.11497778305407724,-0.05462032383875454,3,-0.20148661598567902,-0.086642612693937,3
side_sma_gap_up_q60,3,60,60,-0.12498682356869362,-0.05334816426332926,3,-0.20420898903872398,-0.08024950670453677,3
ctx4h_side_up_q60,3,57,57,-0.13186948909093987,-0.06922052716189733,3,-0.2063537151954608,-0.09280035158291976,3
side_sma_slope_up_q60,3,62,62,-0.13197983698298263,-0.065966390649042,3,-0.21110678754034246,-0.09286106362367304,3
level_near_q40,3,59,59,-0.19406872914558654,-0.08486494419376699,3,-0.2682307830255628,-0.11022045382723772,3
late_touch_q40,3,89,89,-0.16533550388778503,-0.07681487203881812,3,-0.2779449316347464,-0.11816557374032467,3
baseline_model_advance,3,149,149,-0.20231108220020402,-0.08928264243002687,3,-0.39052384686613634,-0.16089213171146466,3
