pool,description,feature_set,total_events,overlap_removed_events,train_events,test_events,forward_events,train_source_counts,forward_source_counts,forward_avg_pool_size_weight,forward_min_pool_size_weight,train_delay_errors,test_delay_errors,forward_delay_errors,timing_depth,timing_dt3_loocv,timing_dt4_loocv,timing_test_calendar_sum,rf_train_auc,rf_test_auc,rf_no_signal_warning,speed_threshold,full_same_close_calendar_sum,full_adverse10_calendar_sum,full_adverse10_worst_sm,full_adverse10_neg_sm,full_trade_count,forward_same_close_calendar_sum,forward_adverse10_calendar_sum,forward_adverse10_worst_sm,forward_adverse10_neg_sm,forward_trade_count
combo_wf5_low_eff_q20,canonical plus 5m train-calibrated low eff q20 expansion,production8,225,6,40,28,157,"{""canonical"": 40}","{""canonical"": 86, ""wf5_low_eff_q20"": 71}",1.0,1.0,0,0,0,4,0.1410325013299931,0.14467469520289697,0.08179226036737489,1.0,0.86,False,0.2281060193942284,0.36998987894689234,0.2724856423254756,0.009000802302467067,0,62,0.6936881619450179,0.4239312858305998,-0.019234756676486,2,149
combo_wf3_low_eff_low_atr,canonical plus 3m train-calibrated low eff + low ATR expansion,production8,195,1,42,29,124,"{""canonical"": 42}","{""canonical"": 86, ""wf3_low_eff_low_atr"": 38}",1.0,1.0,0,0,0,4,0.1546092499723493,0.15809445029066171,0.07070276026032653,1.0,0.7583333333333333,False,0.228670127565244,0.38326122279059477,0.2839736145476611,0.00022807653502906079,0,63,0.5884693026054364,0.4085122511702979,-0.002243885212774346,1,115
combo_wf5_low_eff_q20,canonical plus 5m train-calibrated low eff q20 expansion,structure13,225,6,40,28,157,"{""canonical"": 40}","{""canonical"": 86, ""wf5_low_eff_q20"": 71}",1.0,1.0,0,0,0,4,0.1447704635816117,0.14497888039235757,0.08578002718863686,1.0,0.8269230769230769,False,0.2281060193942284,0.37520656652233153,0.2764609891018555,0.013236495492706755,0,62,0.674253081652638,0.4020519399710448,-0.017681643162301836,2,149
combo_wf3_low_eff_low_atr,canonical plus 3m train-calibrated low eff + low ATR expansion,structure13,195,1,42,29,124,"{""canonical"": 42}","{""canonical"": 86, ""wf3_low_eff_low_atr"": 38}",1.0,1.0,0,0,0,3,0.1583472122239679,0.15830302723022488,0.0746905270815885,1.0,0.65,False,0.228670127565244,0.3750517252223574,0.2744013964047698,0.004364652002076524,0,63,0.5748896929009388,0.3897013598938504,-0.0006355302469907217,1,115
combo_wf3_low_eff_low_atr_ctx12h_up,canonical plus 3m low eff + low ATR expansion with favorable prior 12h return,production8,168,1,41,28,99,"{""canonical"": 41}","{""canonical"": 86, ""wf3_low_eff_low_atr_ctx12h_up"": 13}",1.0,1.0,0,0,0,4,0.1493420855487881,0.15282728586710054,0.0681702449615117,1.0,0.8125,False,0.2283148073129718,0.36280680130552834,0.2635630240378905,-0.0011168778218690221,1,63,0.513560894305261,0.3717476574317995,0.011073204286808833,0,91
combo_wf3_low_eff_low_atr_ctx4h_scaled025,canonical plus wf3 low eff + low ATR expansion; context-failed prior 4h events at 25% size,production8,195,1,42,29,124,"{""canonical"": 42}","{""canonical"": 86, ""wf3_low_eff_low_atr"": 38}",0.8548387096774194,0.25,0,0,0,4,0.1546092499723493,0.15809445029066171,0.07070276026032653,1.0,0.7583333333333333,False,0.228670127565244,0.3887110992218715,0.29061175882462914,0.006866220811997054,0,63,0.5218879961309538,0.37026638515150373,0.00609730514654354,0,115
combo_wf3_low_eff_low_atr_ctx4h_up,canonical plus 3m low eff + low ATR expansion with favorable prior 4h return,production8,169,1,41,28,100,"{""canonical"": 41}","{""canonical"": 86, ""wf3_low_eff_low_atr_ctx4h_up"": 14}",1.0,1.0,0,0,0,4,0.1493420855487881,0.15282728586710054,0.08605007398669517,1.0,0.8933333333333333,False,0.2283148073129718,0.39098541184921753,0.2917376659547851,0.009078935570986385,0,63,0.49972163202905834,0.35753052742199887,0.006611725189803604,0,92
combo_wf3_low_eff_low_atr_ctx12h_up,canonical plus 3m low eff + low ATR expansion with favorable prior 12h return,structure13,168,1,41,28,99,"{""canonical"": 41}","{""canonical"": 86, ""wf3_low_eff_low_atr_ctx12h_up"": 13}",1.0,1.0,0,0,0,3,0.1530800478004067,0.1530358628066637,0.07215801178277366,1.0,0.7,False,0.2283148073129718,0.35404507979618105,0.2534799413842553,0.0029849830147067003,0,63,0.4989020329421163,0.35229087340025045,0.005950810836058725,0,91
combo_wf3_low_eff_low_atr_ctx4h_scaled025,canonical plus wf3 low eff + low ATR expansion; context-failed prior 4h events at 25% size,structure13,195,1,42,29,124,"{""canonical"": 42}","{""canonical"": 86, ""wf3_low_eff_low_atr"": 38}",0.8548387096774194,0.25,0,0,0,3,0.1583472122239679,0.15830302723022488,0.0746905270815885,1.0,0.65,False,0.228670127565244,0.380529266001001,0.2810732368455803,0.011036492442886993,0,63,0.5075288774762425,0.35097091269342134,0.0009327001604632901,0,115
combo_wf3_low_eff_low_atr_ctx4h_up,canonical plus 3m low eff + low ATR expansion with favorable prior 4h return,structure13,169,1,41,28,100,"{""canonical"": 41}","{""canonical"": 86, ""wf3_low_eff_low_atr_ctx4h_up"": 14}",1.0,1.0,0,0,0,3,0.1530800478004067,0.1530358628066637,0.09003784080795715,1.0,0.8269230769230769,False,0.2283148073129718,0.3825097676042732,0.2819406202749255,0.013284307203428658,0,63,0.4849530032768637,0.3379520067149085,0.0014669122461037198,0,92
